"","X.2","X.1","X","CaseID","Opened","Closed","Updated","Status","Status.Notes","Responsible.Agency","Category","Request.Type","Request.Details","Address","Supervisor.District","Neighborhood","Point","Source","Media.URL","Lat","Long","Census.Block","Zip","Map.Url","Resolve.Time"
"12",12,12,368982,4288959,2014-12-10 10:20:00,2014-12-12 08:35:35,"12/12/2014 08:35:35 AM","Closed","Case Completed - resolved: same location as 1615701wew×","DPW Ops Queue","Graffiti Private Property","Offensive Graffiti on Private Property","Building_residential - Offensive","3468 17TH ST, SAN FRANCISCO, CA, 94110",8,"Mission Dolores","(37.763318986288, -122.423279671154)","Open311","http://mobile311.sfgov.org/media/san_francisco/report/photos/54888ec3df86c2f05a6dd0d4/report.jpg",37.763318986288,-122.423279671154,60750202003,"94110","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7630785,-122.4229214,0,0,|&center=37.7630785,-122.4229214&zoom=15&rand=-652234606",46.26
"13",13,13,75871,5280970,2015-11-13 09:05:25,NA,"12/03/2015 12:00:00 PM","Open","accepted","DPW BSM Queue","Blocked Street or SideWalk","Blocked_Sidewalk","Display_merchandise blocking sidewalk","5621 GEARY BLVD, SAN FRANCISCO, CA, 94121",1,"Outer Richmond","(37.780193177878, -122.479587959608)","Open311","http://mobile311.sfgov.org/media/san_francisco/report/photos/56461850df865765f749dc7e/report.jpg",37.780193177878,-122.479587959608,60750477012,"94121","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7801791,-122.4795855,0,0,|&center=37.7801791,-122.4795855&zoom=15&rand=1728754415",NA
"14",14,14,476600,3887996,2014-08-04 18:19:01,2014-08-05 01:37:27,"08/05/2014 01:37:27 AM","Closed","Case Completed - resolved: 10-98","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","Intersection of LILAC ST and 24TH ST",9,"Mission","(37.7522712511524, -122.417876793921)","Voice In",NA,37.7522712511524,-122.417876793921,60750209001,"94110","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7520735,-122.41812537609,0,0,|&center=37.7520735,-122.41812537609&zoom=15&rand=2050439530",7.31
"15",15,15,775328,2418853,2013-05-28 12:57:53,2013-07-31 10:03:10,"07/31/2013 10:03:10 AM","Closed","Case Resolved -","SFMTA - Temporary Sign Request Approved Queue","Temporary Sign Request","Temporary Sign Request for Other_Event_Type","100 ft zone requested from 06/11/2013 to 06/11/2013","3300 LAGUNA ST, SAN FRANCISCO, CA, 94123",2,"Marina","(37.801625390824, -122.431188492193)","Voice In",NA,37.801625390824,-122.431188492193,60750129022,"94123","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.80164415,-122.4310718,0,0,|&center=37.80164415,-122.4310718&zoom=15&rand=990417236",1533.09
"16",16,16,864680,1808718,2012-12-21 13:23:10,2013-02-05 18:19:04,"02/05/2013 06:19:04 PM","Closed","Case Resolved -","Housing Authority SR Queue","SFHA Requests","SFHA Priority - Urgent","Plumbers","94 BLYTHDALE AVE, Apt A, SAN FRANCISCO, CA, 94134",10,"Sunnydale","(37.710092422235, -122.4182614766)","Voice In",NA,37.710092422235,-122.4182614766,60750605023,"94134","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7092356,-122.4168252,0,0,|&center=37.7092356,-122.4168252&zoom=15&rand=-352923174",1108.93
"17",17,17,1328639,585787,2010-01-21 11:15:00,2010-02-01 08:21:00,"02/01/2010 08:21:00 AM","Closed",NA,"DPW BSSR Queue","Street Defects","Pavement_Defect","Pavement_Defect","1499 THOMAS AVE, SAN FRANCISCO, CA, 94124",10,"Bayview","(37.729102, -122.389435647)","Voice In",NA,37.729102,-122.389435647,60750232001,"94124","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7281789,-122.390475,0,0,|&center=37.7281789,-122.390475&zoom=15&rand=1504708040",261.1
"18",18,18,140802,5076924,2015-09-08 11:21:02,2015-12-15 15:02:15,"12/15/2015 03:02:15 PM","Closed","Administrative Closure - This property is no longer managed by the SF Housing Authority.","Housing Authority SR Queue","SFHA Requests","SFHA Priority - Emergency","Plumbers","780 KIRKWOOD AVE, Apt F, SAN FRANCISCO, CA, 94124",10,"Hunters Point","(37.729428973531, -122.373770378956)","Voice In",NA,37.729428973531,-122.373770378956,60750231032,"94124","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.72966,-122.3749279,0,0,|&center=37.72966,-122.3749279&zoom=15&rand=-261291159",2356.69
"19",19,19,907468,1478216,2012-09-27 09:47:00,2012-09-28 04:34:00,"09/28/2012 04:34:00 AM","Closed",NA,"DPW BSM Queue","Litter Receptacles","Cans_Left_Out_24x7","Cans_Left_Out_24x7","1212 42ND AVE, SAN FRANCISCO, CA, 94122",4,"Outer Sunset","(37.764001615, -122.501613325)","Voice In",NA,37.764001615,-122.501613325,60750351001,"94116","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7494258,-122.500857,0,0,|&center=37.7494258,-122.500857&zoom=15&rand=1320016320",18.78
"20",20,20,329914,4430941,2015-01-26 18:00:00,2015-01-27 05:49:00,"01/27/2015 05:49:00 AM","Closed","Scheduled -","Clear Channel - Transit Queue","Damaged Property","Damaged Transit_Shelter_Ad_Kiosk","Transit_Shelter_Ad_Kiosk","714 14TH ST, SAN FRANCISCO, CA, 94114",8,"Duboce Triangle","(37.767820714905, -122.429277634616)","Open311",NA,37.767820714905,-122.429277634616,60750169001,"94114","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.76791895,-122.429286739569,0,0,|&center=37.76791895,-122.429286739569&zoom=15&rand=-1732174850",11.82
"21",21,21,375838,4265002,2014-12-03 09:11:00,2015-01-12 12:50:00,"01/12/2015 12:50:00 PM","Closed","Case Completed - resolved: Maximo Service Request has been resolved","PUC Sewer Ops","Sewer Issues","Sewage_back_up","Outofsewervent4inch","406 CONNECTICUT ST, SAN FRANCISCO, CA, 94107",10,"Potrero Hill","(37.761046516873, -122.397508701554)","Voice In",NA,37.761046516873,-122.397508701554,60750227022,"94107","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7615171,-122.3971741,0,0,|&center=37.7615171,-122.3971741&zoom=15&rand=-1774370298",963.65
"22",22,22,351243,4357927,2015-01-03 12:38:00,2015-01-03 13:55:00,"01/03/2015 01:55:00 PM","Closed","Case Completed - resolved: Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Refrigerator","3189 21ST ST, SAN FRANCISCO, CA, 94110",9,"Mission","(37.756948857729, -122.418370880916)","Integrated Agency",NA,37.756948857729,-122.418370880916,60750208004,"94110","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7562478,-122.418494910626,0,0,|&center=37.7562478,-122.418494910626&zoom=15&rand=2063036936",1.28
"23",23,23,1211614,766020,2010-11-04 12:43:44,2010-12-09 12:14:05,"12/09/2010 12:14:05 PM","Closed",NA,"PG and E - Streetlights Queue","Streetlights","Streetlight - Light_Burnt_Out","Light_Burnt_Out on Wooden Pole","2830 INGALLS ST, SAN FRANCISCO, CA, 94124",10,"Bayview","(37.721433534635, -122.390979914435)","Voice In",NA,37.721433534635,-122.390979914435,60750234001,"94124","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7228904,-122.3895995,0,0,|&center=37.7228904,-122.3895995&zoom=15&rand=-1413984600",840.51
"24",24,24,513456,3755921,2014-06-19 13:31:00,2015-04-20 04:06:00,"04/20/2015 04:06:00 AM","Closed","Case Transferred - Per process - cases are closed 5 days after assignment.","311 Service Request Queue - Hold","311 External Request","Graffiti","Graffiti - USPS","Intersection of 19TH ST and LEXINGTON ST",9,"Mission","(37.7601475157402, -122.420659554429)","Twitter",NA,37.7601475157402,-122.420659554429,60750208003,"94110","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7599899,-122.420787669364,0,0,|&center=37.7599899,-122.420787669364&zoom=15&rand=-2124112724",7310.58
"25",25,25,162162,5003990,2015-08-16 18:19:00,2015-09-18 09:10:00,"09/18/2015 09:10:00 AM","Closed","Case Completed - resolved:","DPW Ops Queue","Graffiti Private Property","Not_Offensive Graffiti on Private Property","Building_commercial - Not_Offensive","40 LAFAYETTE ST, SAN FRANCISCO, CA, 94103",6,"South of Market","(37.773078730384, -122.417442966735)","Open311","http://mobile311.sfgov.org/media/san_francisco/report/photos/55d136aedf86d860e86dfbf6/report.jpg",37.773078730384,-122.417442966735,60750177002,"94103","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7736381,-122.4176245,0,0,|&center=37.7736381,-122.4176245&zoom=15&rand=1272236015",782.85
"26",26,26,1010031,1063382,2012-02-12 13:52:00,2012-02-15 18:10:00,"02/15/2012 06:10:00 PM","Closed",NA,"DPW Ops Queue","Street and Sidewalk Cleaning","Sidewalk_Cleaning","Garbage","Intersection of ALEMANY BLVD and ONONDAGA AVE",11,"Outer Mission","(37.721626366615, -122.438641709785)","Voice In",NA,37.721626366615,-122.438641709785,60750261001,"94112","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7212182,-122.4380828,0,0,|&center=37.7212182,-122.4380828&zoom=15&rand=-1191666274",76.3
"27",27,27,1156828,846855,2011-03-21 16:53:22,2011-03-23 15:06:07,"03/23/2011 03:06:07 PM","Closed",NA,"DPW Ops Queue","Street and Sidewalk Cleaning","Sidewalk_Cleaning","Furniture","1003 HOLLISTER AVE, SAN FRANCISCO, CA, 94124",10,"Bayview","(37.718535637, -122.390877051)","Voice In",NA,37.718535637,-122.390877051,60750234002,"94124","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.718688,-122.3905639,0,0,|&center=37.718688,-122.3905639&zoom=15&rand=1503436571",46.21
"28",28,28,699351,2885169,2013-09-29 11:40:28,2013-09-30 06:09:41,"09/30/2013 06:09:41 AM","Closed","Case Completed - resolved: Maximo Service Request has been resolved       PUC NOTE: Work dispatched   at Sep 29 2013  2:40PM.   Work Transferred from DPW SES to PUC/Sewer  am  Send To: PUC - Sewer - G sr made","PUC Sewer Ops","Sewer Issues","Sewage_back_up","Outofsewervent4inch","2230 9TH AVE, SAN FRANCISCO, CA, 94116",7,NA,"(37.747374628, -122.465306555)","Voice In",NA,37.747374628,-122.465306555,60750304002,"94116","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.74733095,-122.46544908221,0,0,|&center=37.74733095,-122.46544908221&zoom=15&rand=-1452298052",18.49
"29",29,29,249504,4711081,2015-05-01 09:35:00,2015-05-02 06:11:00,"05/02/2015 06:11:00 AM","Closed","Case Completed - resolved:","DPW Ops Queue","Graffiti Public Property","Offensive Graffiti on Public Property","Signal_box - Offensive","54 HOWTH ST, SAN FRANCISCO, CA, 94112",7,"Oceanview","(37.722290526358, -122.450121905602)","Web Self Service",NA,37.722290526358,-122.450121905602,60750312011,"94112","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7228052,-122.4496787,0,0,|&center=37.7228052,-122.4496787&zoom=15&rand=-1252609157",20.6
"30",30,30,475992,3890262,2014-08-05 13:41:15,2014-08-08 08:37:56,"08/08/2014 08:37:56 AM","Closed","Case Resolved - RESOLVED 8/7/14","PG and E - Streetlights Queue","Streetlights","Streetlight - Light_Burnt_Out","Light_Burnt_Out on Wooden Pole","324 FOERSTER ST, SAN FRANCISCO, CA, 94112",7,"Sunnyside","(37.730912367892, -122.448792809338)","Voice In",NA,37.730912367892,-122.448792809338,60750311004,"94127","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.731384,-122.4490107,0,0,|&center=37.731384,-122.4490107&zoom=15&rand=1207222163",66.94
"31",31,31,623696,3279765,2014-01-16 18:02:26,2014-01-21 08:48:58,"01/21/2014 08:48:58 AM","Closed","Case Transferred - psr 447031","MUNI Work Queue","MUNI Feedback","MUNI - Conduct_Inattentiveness_Negligence","201_Pass_Up_Did_Not_Wait_for_Transferee","Intersection of BROADWAY and STOCKTON ST",3,"North Beach","(37.7976274366082, -122.40861884317)","Voice In",NA,37.7976274366082,-122.40861884317,60750107003,"94133","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7978999,-122.408527387063,0,0,|&center=37.7978999,-122.408527387063&zoom=15&rand=-1412094717",110.78
"32",32,32,1416452,445315,2009-06-06 13:19:15,2009-06-08 10:11:07,"06/08/2009 10:11:07 AM","Closed",NA,"DPW Ops Queue","Graffiti Public Property","Not_Offensive Graffiti on Public Property","Sidewalk_structure - Not_Offensive","Intersection of BAY SHORE BLVD and SAN BRUNO AVE",9,"Bayview","(37.7384578988749, -122.407054470157)","Voice In",NA,37.7384578988749,-122.407054470157,60750251003,"94110","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7385647,-122.4070969,0,0,|&center=37.7385647,-122.4070969&zoom=15&rand=-1686870263",44.86
"33",33,33,340647,4393511,2015-01-14 14:57:00,2015-01-16 17:04:00,"01/16/2015 05:04:00 PM","Closed","Case Transferred - 467631","MUNI Work Queue","MUNI Feedback","MUNI - Conduct_Discourteous_Insensitive_Inappropriate_Conduct","301_Discourtesy_to_Customer","Intersection of CHURCH ST and DUBOCE AVE",8,"Duboce Triangle","(37.7694561645459, -122.429128105966)","Voice In",NA,37.7694561645459,-122.429128105966,60750168012,"94115","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.76996855,-122.428563156867,0,0,|&center=37.76996855,-122.428563156867&zoom=15&rand=1705939667",50.12
"34",34,34,245099,4726774,2015-05-07 13:19:00,2015-05-30 09:22:00,"05/30/2015 09:22:00 AM","Closed","Case Completed - resolved:","DPW Ops Queue","Graffiti Private Property","Not_Offensive Graffiti on Private Property","Building_other - Not_Offensive","1946 VAN NESS AVE, SAN FRANCISCO, CA, 94109",3,"Polk Gulch","(37.793777266263, -122.422759429949)","Integrated Agency",NA,37.793777266263,-122.422759429949,60750110003,"94118","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7940496,-122.4227651,0,0,|&center=37.7940496,-122.4227651&zoom=15&rand=804264541",548.05
"35",35,35,925435,1302357,2012-08-19 12:06:00,2012-08-24 10:04:00,"08/24/2012 10:04:00 AM","Closed",NA,"DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","Red - Chevy - Suburban - 5VMT443","Intersection of 37TH AVE and MORAGA ST",4,"Outer Sunset","(37.7552513678532, -122.495897214995)","Voice In",NA,37.7552513678532,-122.495897214995,60750351005,"94122","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7549672,-122.4961677,0,0,|&center=37.7549672,-122.4961677&zoom=15&rand=-1788207270",117.97
"36",36,36,1181629,809831,2011-01-20 15:13:24,2011-01-21 16:07:50,"01/21/2011 04:07:50 PM","Closed",NA,"DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - PickupTruck","grey - Ford - NA - 7A22154","328 ANDOVER ST, SAN FRANCISCO, CA, 94110",9,"Bernal Heights","(37.738553945, -122.416761438)","Voice In",NA,37.738553945,-122.416761438,60750254012,"94110","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7388951,-122.416667390123,0,0,|&center=37.7388951,-122.416667390123&zoom=15&rand=-100345199",24.91
"37",37,37,1287717,650245,2010-05-04 18:39:50,2010-05-17 16:56:56,"05/17/2010 04:56:56 PM","Closed",NA,"PUC Sewer Ops","Sewer Issues","Side_Sewer_Issues","Water_coming_out","290 CASITAS AVE, SAN FRANCISCO, CA, 94127",7,"West of Twin Peaks","(37.735634868, -122.460034316)","Voice In",NA,37.735634868,-122.460034316,60750308002,"94127","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7362934,-122.4600437,0,0,|&center=37.7362934,-122.4600437&zoom=15&rand=58469798",310.29
"38",38,38,1360984,534970,2009-10-30 11:41:00,2009-11-04 15:16:00,"11/04/2009 03:16:00 PM","Closed",NA,"DPW - Bureau of Urban Forestry - G","General Requests","dpw - buf - customer_callback","dpw - buf - customer_callback","  19 VALLETTA CT, SAN FRANCISCO, CA, 94131",7,"West of Twin Peaks","(37.736694203, -122.44489316)","Voice In",NA,37.736694203,-122.44489316,60750307001,"94131","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7366163,-122.4446117,0,0,|&center=37.7366163,-122.4446117&zoom=15&rand=949645168",124.58
"39",39,39,626565,3266136,2014-01-13 13:22:08,2014-02-27 09:52:53,"02/27/2014 09:52:53 AM","Closed","Case Resolved - Cotton jam removed.","DPT Meter_Bike Queue","Damaged Property","Damaged Parking_Meter","Parking_Meter","Intersection of TAYLOR ST and POST ST",3,"Lower Nob Hill","(37.7878721833008, -122.411699242388)","Voice In",NA,37.7878721833008,-122.411699242388,60750121001,"94115","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.787878,-122.411644,0,0,|&center=37.787878,-122.411644&zoom=15&rand=-1635801991",1076.51
"40",40,40,1339022,570438,2009-12-28 14:53:00,2010-01-01 06:16:00,"01/01/2010 06:16:00 AM","Closed",NA,"DPW Ops Queue","Street and Sidewalk Cleaning","Sidewalk_Cleaning","Sidewalk_Cleaning","759 HAIGHT ST, SAN FRANCISCO, CA, 94117",5,"Western Addition","(37.771290103, -122.434604248)","Voice In",NA,37.771290103,-122.434604248,60750167001,"94117","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7714409,-122.4349625,0,0,|&center=37.7714409,-122.4349625&zoom=15&rand=105930885",87.38
